,id,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id
563,31005789,81875642,1516138746,260000,Refinance existing loans,ACCEPTED,8.7,
636,40573400,13783842,1516054990,240000,Buying a pet,ACCEPTED,8.7,"(62393163,)"
678,16362620,43924842,1517163281,100000,Refinance existing loans,REJECTED,14.0,
679,61933111,94933873,1516577750,90000,Home purchase,REJECTED,7.0,
698,70402681,4624866,1516682800,190000,Buying a pet,REJECTED,7.0,
702,75624492,28593397,1516618528,200000,Home purchase,REJECTED,8.7,
755,59816389,4444024,1516552787,40000,Refinance existing loans,ACCEPTED,7.0,
786,3348118,20002079,1516603684,60000,Home purchase,REJECTED,8.7,"(47756460,)"
813,5393419,26770394,1516077945,240000,Refinance existing loans,ACCEPTED,6.7,
819,79929733,68231573,1515829420,180000,Home purchase,ACCEPTED,7.0,
874,22278996,91897026,1515251867,50000,Refinance existing loans,REJECTED,7.0,"(50954912,)"
889,82772188,91690446,1516639637,220000,Refinance existing loans,ACCEPTED,8.7,"(79085421,)"
896,71462659,64752228,1516241354,220000,Buying a pet,ACCEPTED,6.7,"(40318966,)"
955,16194870,38081917,1514904310,220000,Refinance existing loans,ACCEPTED,8.7,"(95506896,)"
973,19963082,71339270,1517205078,20000,buying a pet,ACCEPTED,8.7,
984,10643694,7461277,1515362888,190000,Buying a pet,ACCEPTED,7.0,"(62842960,)"
988,71204900,89166098,1514944949,50000,Buying a pet,ACCEPTED,7.0,
1043,61496835,44995129,1514921684,270000,home purchase,REJECTED,7.0,
1049,85002164,60829575,1517254287,270000,Refinance existing loans,ACCEPTED,7.0,"(47726204,)"
1130,13484053,1831057,1516464188,270000,Refinance existing loans,ACCEPTED,8.7,
1137,57900614,78051152,1517092002,210000,Buying a pet,ACCEPTED,8.7,
1152,16614967,32887594,1516323294,50000,Refinance existing loans,ACCEPTED,6.7,
1164,71728415,7259875,1514982964,300000,buying a pet,REJECTED,6.7,
1175,13642395,11785769,1517017381,290000,buying a pet,ACCEPTED,7.0,
1200,57915226,25842573,1515485438,280000,Home purchase,ACCEPTED,14.0,
1227,1630264,16290573,1516743416,90000,Buying a pet,REJECTED,6.7,"(26855833,)"
1235,10575678,28650203,1516007944,220000,Refinance existing loans,REJECTED,6.7,
1267,89979168,48536620,1517294139,40000,buying a pet,ACCEPTED,14.0,
1286,55940122,25136178,1517317945,120000,home purchase,ACCEPTED,6.7,
1301,97136674,13479365,1516944723,80000,Buying a pet,REJECTED,8.7,
1334,30907115,47630883,1516900521,190000,Home purchase,REJECTED,6.7,
1341,89136486,16791581,1515560651,80000,home purchase,ACCEPTED,7.0,"(4983298,)"
1345,76572666,69872115,1515586629,50000,Buying a pet,REJECTED,14.0,
1372,92728310,40496696,1515420480,70000,Refinance existing loans,ACCEPTED,8.7,"(77467517,)"
1383,42503080,54210109,1517018694,30000,home purchase,REJECTED,6.7,
1396,63279418,49263109,1516960037,270000,Home purchase,REJECTED,6.7,
1407,30091207,81114728,1515782360,50000,Buying a pet,ACCEPTED,7.0,
1427,19462277,31338274,1517167030,80000,Home purchase,ACCEPTED,7.0,
1476,21684032,60947854,1515784644,300000,Refinance existing loans,ACCEPTED,8.7,
1486,2334,90144419,1515477209,200000,Buying a pet,REJECTED,6.7,
1497,67562121,52568609,1516001325,270000,Home purchase,ACCEPTED,8.7,
1546,125807,72790291,1515527891,80000,Refinance existing loans,REJECTED,7.0,"(762251,)"
1624,79301428,8099262,1516801559,100000,Home purchase,REJECTED,6.7,
1645,47657983,39935025,1516185174,290000,home purchase,REJECTED,8.7,
1670,80881948,94158296,1515024715,230000,buying a pet,REJECTED,14.0,"(9334197,)"
1707,65191115,7077145,1517173315,120000,Home purchase,REJECTED,8.7,
1836,37113998,55574814,1515750263,60000,Buying a pet,ACCEPTED,8.7,
1842,66319675,38909607,1516750814,280000,Refinance existing loans,REJECTED,14.0,"(54735615,)"
1845,41576805,41650158,1517245487,170000,buying a pet,ACCEPTED,7.0,"(16550838,)"
1868,30082369,27705229,1516179591,60000,Buying a pet,ACCEPTED,14.0,"(73883299,)"
1870,65431336,20040533,1517222755,70000,buying a pet,REJECTED,7.0,
1878,52291143,74427028,1516891667,50000,home purchase,ACCEPTED,6.7,
1882,49022407,64199610,1515899682,200000,home purchase,ACCEPTED,8.7,
1890,92413214,51186973,1516333908,40000,Home purchase,REJECTED,6.7,
1904,13058998,1110701,1517041108,240000,home purchase,ACCEPTED,14.0,
1917,7297448,37696692,1517329892,190000,Buying a pet,REJECTED,6.7,"(56934340,)"
1948,14812920,35258531,1516122471,190000,Refinance existing loans,ACCEPTED,14.0,"(17230765,)"
1954,94392352,87839827,1516108177,40000,buying a pet,ACCEPTED,6.7,
1963,76102684,61172391,1516208072,20000,Buying a pet,ACCEPTED,7.0,
1979,52627845,2135695,1515606514,30000,Refinance existing loans,ACCEPTED,14.0,"(60239916,)"
1990,60784339,55155756,1516911157,60000,Home purchase,ACCEPTED,6.7,
2081,19096458,96393151,1515010618,230000,Refinance existing loans,ACCEPTED,6.7,
2105,552281,28230288,1516811252,150000,Refinance existing loans,ACCEPTED,7.0,
2106,84317917,46272679,1517264663,60000,Buying a pet,ACCEPTED,8.7,"(34464176,)"
2122,30437701,95982356,1515027779,70000,Home purchase,ACCEPTED,6.7,
2162,22567591,8037320,1515862450,120000,buying a pet,ACCEPTED,8.7,
2170,9539426,66876392,1515628290,50000,Buying a pet,ACCEPTED,7.0,
2233,58261742,84169853,1516375308,40000,Refinance existing loans,REJECTED,14.0,
2237,42866127,52297236,1517160890,20000,Buying a pet,REJECTED,7.0,"(25561724,)"
2240,38853087,42040815,1515268080,50000,Refinance existing loans,REJECTED,8.7,
2252,6569643,88162663,1515435338,240000,Refinance existing loans,ACCEPTED,6.7,"(99103073,)"
2253,81580450,88162663,1515891246,40000,Refinance existing loans,ACCEPTED,14.0,
2278,27203831,5863725,1516903751,200000,Buying a pet,REJECTED,7.0,
2294,55607299,19092687,1516595854,280000,Buying a pet,REJECTED,8.7,
2307,69822011,13951288,1516363678,250000,Refinance existing loans,ACCEPTED,8.7,
2316,38016867,48232383,1515507102,270000,Home purchase,ACCEPTED,6.7,"(88272477,)"
2322,52436285,86556945,1515600048,230000,Refinance existing loans,ACCEPTED,14.0,
2348,6646972,26350481,1516527806,170000,Refinance existing loans,ACCEPTED,7.0,
2372,59273151,33502533,1516021005,270000,Buying a pet,ACCEPTED,7.0,
2488,38466079,45223287,1517178577,180000,Refinance existing loans,REJECTED,8.7,
2489,14105166,52125514,1516480274,270000,Buying a pet,ACCEPTED,14.0,"(32071333,)"
2521,49251850,69772290,1516022647,280000,Refinance existing loans,ACCEPTED,14.0,
2530,10089610,51058240,1516920205,220000,Home purchase,ACCEPTED,14.0,
2553,267902,99928578,1516045214,20000,Refinance existing loans,REJECTED,14.0,
2614,83260687,57985725,1516574549,200000,Buying a pet,ACCEPTED,6.7,
2673,38395163,58516587,1515202220,20000,Refinance existing loans,REJECTED,14.0,
2737,74568760,5808302,1516379422,20000,Refinance existing loans,ACCEPTED,6.7,"(10739772,)"
2742,95448732,70233042,1516484295,20000,Refinance existing loans,ACCEPTED,8.7,
2827,60320585,76435417,1516776075,100000,Home purchase,ACCEPTED,14.0,
2864,82831405,4521259,1516503515,50000,Buying a pet,REJECTED,8.7,"(50513370,)"
2872,38795086,62525892,1517102994,100000,Refinance existing loans,REJECTED,7.0,"(35658917,)"
2885,85882477,84696204,1516175551,200000,Buying a pet,ACCEPTED,6.7,"(42613249,)"
2896,89333413,47776307,1515883172,290000,Home purchase,ACCEPTED,7.0,
2899,84923347,94284327,1515110017,250000,home purchase,REJECTED,14.0,"(5297309,)"
2917,5846294,56209571,1515163544,250000,home purchase,REJECTED,14.0,
2925,81037378,20527399,1516216130,200000,home purchase,ACCEPTED,14.0,"(77800979,)"
2941,17341226,60207856,1515492867,200000,Refinance existing loans,ACCEPTED,6.7,
2953,43252882,32682096,1515678675,280000,Refinance existing loans,ACCEPTED,6.7,
2997,67569182,50801187,1514998892,240000,Home purchase,ACCEPTED,6.7,
3007,42276238,54710768,1514954522,250000,Refinance existing loans,REJECTED,8.7,"(60803999,)"
3034,34697230,94461711,1515312220,150000,home purchase,ACCEPTED,14.0,"(29405665,)"
3089,1484276,83643134,1515489345,230000,Home purchase,ACCEPTED,14.0,"(32346539,)"
3115,65172752,82917798,1515295644,50000,Refinance existing loans,ACCEPTED,8.7,
3160,24674399,44189670,1515770923,80000,Home purchase,ACCEPTED,7.0,
3163,56437790,24896679,1516055236,210000,Home purchase,REJECTED,8.7,
3177,66658864,17132318,1515817490,180000,Home purchase,ACCEPTED,8.7,"(56820852,)"
3214,52566665,63895435,1517165316,190000,Refinance existing loans,REJECTED,8.7,
3225,5310764,58753127,1516520123,60000,Buying a pet,ACCEPTED,6.7,"(83606540,)"
3243,13537290,26362303,1516406406,100000,Buying a pet,REJECTED,6.7,
3252,51732397,14091281,1516228944,40000,Refinance existing loans,ACCEPTED,8.7,"(42000246,)"
3257,8948877,28469419,1516773300,250000,Buying a pet,REJECTED,7.0,
3321,66895797,53483275,1515098434,100000,Buying a pet,REJECTED,7.0,
3335,71299033,83056039,1515754281,30000,Home purchase,ACCEPTED,14.0,
3423,7357257,91617253,1514775062,300000,home purchase,REJECTED,7.0,
3446,78545970,45967674,1516671925,120000,buying a pet,REJECTED,8.7,
3457,82082279,58079000,1515874814,270000,Refinance existing loans,ACCEPTED,8.7,
3469,37934951,12325410,1515332741,200000,Refinance existing loans,REJECTED,6.7,
3476,59334708,26765925,1515863486,100000,Refinance existing loans,REJECTED,8.7,
3507,67246495,3911702,1516987469,60000,Buying a pet,ACCEPTED,8.7,
3514,50082209,13123190,1516662082,300000,Buying a pet,REJECTED,7.0,
3581,38821822,85581151,1516690627,290000,home purchase,ACCEPTED,14.0,"(40409195,)"
3587,7542356,63524714,1517198644,210000,Refinance existing loans,ACCEPTED,7.0,"(19681740,)"
3602,94450817,93075469,1516712935,120000,Buying a pet,ACCEPTED,8.7,
3613,7358667,25882641,1516967034,80000,Home purchase,REJECTED,8.7,"(56821711,)"
3616,17552737,83202117,1517239414,200000,Buying a pet,ACCEPTED,6.7,
3653,5314803,67668209,1515788987,120000,Refinance existing loans,REJECTED,8.7,
3680,315831,15062910,1515432267,100000,Home purchase,REJECTED,8.7,
3731,12522861,36435731,1515270950,210000,Refinance existing loans,ACCEPTED,7.0,
3779,39374412,55558249,1516479891,180000,Refinance existing loans,REJECTED,8.7,
3782,35334437,8729064,1516560323,190000,Refinance existing loans,REJECTED,7.0,
3833,95922121,71841647,1516856013,120000,home purchase,ACCEPTED,6.7,
3909,35683511,44013093,1515763814,50000,buying a pet,ACCEPTED,14.0,
3910,54971428,39448519,1517140144,230000,Buying a pet,ACCEPTED,6.7,
3965,77340312,25922359,1516216760,30000,buying a pet,ACCEPTED,6.7,"(5345317,)"
3970,74287799,47667750,1515081489,170000,Home purchase,REJECTED,14.0,"(23046077,)"
3976,95601275,66203244,1516932762,210000,Buying a pet,ACCEPTED,6.7,
4020,26822368,39364224,1517081274,40000,buying a pet,ACCEPTED,6.7,
4034,30581658,55667064,1514879440,20000,home purchase,ACCEPTED,6.7,
4047,69637229,33193992,1515814968,120000,Home purchase,ACCEPTED,8.7,
4055,88989906,94251198,1514786986,30000,Refinance existing loans,REJECTED,6.7,
4058,70118345,2807273,1515390018,220000,Refinance existing loans,ACCEPTED,6.7,
4092,82040133,37486063,1516650333,300000,Refinance existing loans,REJECTED,6.7,
4097,95276480,45330043,1516176913,20000,home purchase,REJECTED,7.0,
4104,45400019,86029036,1516577837,210000,buying a pet,ACCEPTED,6.7,
4169,33606710,6068697,1515211831,40000,Refinance existing loans,REJECTED,6.7,"(83572617,)"
4192,71834098,25948652,1516898791,230000,buying a pet,REJECTED,14.0,
4213,80193779,56033617,1515357348,180000,Buying a pet,REJECTED,8.7,
4221,87647969,5709621,1517143338,220000,Refinance existing loans,REJECTED,6.7,
4255,41281577,18284236,1515056392,270000,buying a pet,REJECTED,14.0,"(86252202,)"
4263,38018582,20813097,1515517838,220000,home purchase,ACCEPTED,7.0,
4305,77879739,99599290,1515716431,290000,Refinance existing loans,ACCEPTED,8.7,
4308,51751403,28102065,1515877104,240000,Refinance existing loans,REJECTED,7.0,
4331,28637267,5521050,1515522030,30000,Home purchase,ACCEPTED,7.0,
4341,39640185,18302401,1516322523,80000,Buying a pet,ACCEPTED,6.7,
4352,31953961,1145684,1515775425,120000,Refinance existing loans,ACCEPTED,6.7,
4354,8849466,77733355,1516892497,190000,Buying a pet,ACCEPTED,7.0,
4365,23218157,89974090,1515452358,90000,buying a pet,REJECTED,14.0,
4407,75995893,9915597,1515220549,280000,Buying a pet,REJECTED,7.0,
4434,59632010,10587459,1514838737,250000,Refinance existing loans,ACCEPTED,8.7,"(99655466,)"
4475,11238308,67894103,1517203827,270000,Buying a pet,ACCEPTED,6.7,
4493,50627791,4724159,1516430514,210000,Buying a pet,ACCEPTED,6.7,"(47627240,)"
4498,69628257,10812062,1515950855,300000,Buying a pet,ACCEPTED,7.0,"(69574577,)"
4537,91252858,12016926,1517024304,100000,Refinance existing loans,REJECTED,6.7,
4544,15312855,6939169,1516289594,150000,Buying a pet,ACCEPTED,7.0,
4587,11895045,86838832,1515401768,200000,Refinance existing loans,REJECTED,7.0,
4598,40921153,71833805,1515671586,290000,Buying a pet,ACCEPTED,8.7,"(40935526,)"
4635,50845441,615069,1515370455,290000,buying a pet,ACCEPTED,14.0,"(96112094,)"
4639,30247456,47087531,1517299747,180000,Buying a pet,ACCEPTED,7.0,
4642,31666236,64046872,1516989186,50000,Refinance existing loans,REJECTED,8.7,"(64020813,)"
4662,6174507,45081908,1516557054,50000,Buying a pet,ACCEPTED,6.7,"(75732668,)"
4676,86004930,77178910,1515495081,90000,Buying a pet,REJECTED,7.0,
4698,48140874,48604761,1515900371,40000,Buying a pet,REJECTED,7.0,"(51049134,)"
4699,14248941,82307673,1515477872,200000,Refinance existing loans,ACCEPTED,14.0,
4737,44339825,75738586,1515643506,210000,Refinance existing loans,ACCEPTED,6.7,"(43387380,)"
4791,69356473,37181666,1517187151,300000,Refinance existing loans,ACCEPTED,14.0,
4801,66065713,82356443,1516006284,30000,home purchase,ACCEPTED,6.7,"(77439488,)"
4949,14474078,39068503,1516727938,70000,Home purchase,ACCEPTED,7.0,"(79893481,)"
4960,35617134,65043515,1516079479,230000,home purchase,REJECTED,8.7,
4986,48599109,31260292,1515499852,150000,Refinance existing loans,ACCEPTED,6.7,
4993,54999579,23991670,1514913905,300000,Home purchase,ACCEPTED,14.0,
5001,98404794,8751596,1516249866,40000,home purchase,ACCEPTED,14.0,
5008,17271688,12547740,1516245373,150000,Home purchase,REJECTED,8.7,
5013,59288987,21534188,1517318936,200000,Home purchase,ACCEPTED,6.7,
5023,15924193,55895953,1515347194,250000,Home purchase,ACCEPTED,7.0,"(62891970,)"
5045,60246540,91282292,1516638951,30000,Refinance existing loans,ACCEPTED,14.0,
5053,32180325,56859279,1516142639,260000,Refinance existing loans,ACCEPTED,6.7,
5085,28304487,48051312,1517211852,220000,Refinance existing loans,ACCEPTED,14.0,
5096,62961442,26479528,1515242263,120000,Buying a pet,REJECTED,14.0,
5105,56728308,72143076,1515475324,260000,home purchase,ACCEPTED,6.7,"(98091983,)"
5129,83129902,27094678,1516592226,220000,Buying a pet,REJECTED,7.0,"(89128754,)"
5133,50364597,53455646,1517073003,280000,Buying a pet,REJECTED,8.7,
5152,78673567,45611366,1514790357,100000,Refinance existing loans,ACCEPTED,7.0,
5155,61093653,14247855,1514926474,30000,home purchase,REJECTED,14.0,
5166,43892123,68010677,1515789300,200000,Buying a pet,ACCEPTED,14.0,"(28446841,)"
5175,45107035,41495664,1515031438,270000,Buying a pet,REJECTED,6.7,
5210,46722060,42824853,1516712601,260000,Refinance existing loans,ACCEPTED,7.0,
5220,466122,27667118,1515319560,30000,Buying a pet,ACCEPTED,8.7,"(35882538,)"
5225,23305382,42796687,1516935722,100000,Refinance existing loans,ACCEPTED,6.7,
5236,87418900,82758150,1516839019,210000,home purchase,REJECTED,7.0,
5274,46277845,55468590,1515215493,80000,Buying a pet,REJECTED,14.0,"(66271427,)"
5315,81993848,41647750,1515482724,60000,Home purchase,REJECTED,6.7,
5353,20753806,83061301,1515994394,50000,Home purchase,REJECTED,8.7,"(59115508,)"
5379,89396482,14386787,1516068035,220000,Buying a pet,REJECTED,7.0,
5404,81997401,19393809,1517081892,200000,buying a pet,REJECTED,7.0,
5454,66921689,14120966,1515150147,290000,Refinance existing loans,ACCEPTED,8.7,
5478,1007614,13444730,1515540459,70000,home purchase,ACCEPTED,7.0,
5528,26590156,18484425,1515251112,80000,Home purchase,REJECTED,14.0,
5554,70484936,31415670,1515755965,150000,Buying a pet,REJECTED,8.7,
5569,29829357,78904161,1516375248,170000,Buying a pet,REJECTED,8.7,"(42110094,)"
5577,78583968,93404247,1515667739,150000,Buying a pet,REJECTED,14.0,
5626,16898840,98420269,1514777770,60000,Home purchase,ACCEPTED,6.7,
5647,98379030,47715804,1515219771,120000,home purchase,REJECTED,8.7,"(61769288,)"
5669,37411,18404204,1516987697,230000,Buying a pet,REJECTED,8.7,"(35858714,)"
5739,42643178,69140721,1516950900,70000,home purchase,ACCEPTED,14.0,"(80461880,)"
5769,86796958,79787914,1516269685,60000,Refinance existing loans,ACCEPTED,14.0,
5779,46971326,61551486,1516229250,290000,Refinance existing loans,ACCEPTED,6.7,
5853,21395000,1714817,1516323490,170000,home purchase,ACCEPTED,6.7,
6000,32577666,12732789,1515529102,30000,Home purchase,REJECTED,7.0,
6022,62035839,33676218,1515167449,100000,Refinance existing loans,ACCEPTED,6.7,
6057,40740585,7482618,1515744978,290000,Refinance existing loans,ACCEPTED,7.0,"(86768270,)"
6165,3498856,71698559,1515658993,40000,Buying a pet,ACCEPTED,8.7,
6175,1373237,34257900,1516466172,260000,Buying a pet,ACCEPTED,14.0,
6189,88564480,63886520,1516027979,40000,Buying a pet,ACCEPTED,14.0,
6212,46331959,47414107,1515332673,40000,Buying a pet,ACCEPTED,6.7,
6221,46133941,8213659,1516053032,240000,Home purchase,REJECTED,8.7,
6229,18928924,15956331,1514827923,270000,Refinance existing loans,REJECTED,7.0,
6241,60162964,73359096,1517005669,90000,Refinance existing loans,REJECTED,6.7,
6266,13807962,20513245,1515130377,240000,Buying a pet,ACCEPTED,8.7,
6334,40550156,93004306,1516266710,70000,Refinance existing loans,REJECTED,6.7,
6347,54976006,45392058,1515079665,190000,Buying a pet,ACCEPTED,7.0,"(3106047,)"
6380,63151912,12067151,1515154131,200000,Refinance existing loans,ACCEPTED,14.0,
6385,88488116,71089167,1515555423,220000,Refinance existing loans,REJECTED,7.0,"(39263212,)"
6386,16713060,6028252,1515711292,20000,buying a pet,ACCEPTED,7.0,
6389,13376519,51837783,1515038003,260000,Buying a pet,ACCEPTED,7.0,
6451,30513050,62791835,1516050154,280000,Home purchase,REJECTED,14.0,
6494,11085464,65531612,1515472204,220000,Home purchase,ACCEPTED,7.0,
6575,19239486,86645979,1516524922,120000,home purchase,REJECTED,8.7,
6588,91195758,81258887,1515702166,60000,Buying a pet,REJECTED,6.7,
6600,25178848,51419297,1515687831,280000,Home purchase,REJECTED,8.7,"(18569521,)"
6602,20417828,34799639,1516260857,20000,Refinance existing loans,REJECTED,14.0,
6608,17762079,90142150,1516805880,70000,Refinance existing loans,ACCEPTED,14.0,
6610,41602963,53349034,1517188247,100000,Home purchase,ACCEPTED,6.7,
6614,33681725,76340138,1516023088,20000,home purchase,REJECTED,14.0,
6631,92683851,700466,1516078862,100000,buying a pet,ACCEPTED,14.0,
6662,91626319,51387292,1517282326,280000,Refinance existing loans,ACCEPTED,14.0,
6663,69521472,51387292,1516172500,60000,Buying a pet,REJECTED,8.7,
6670,11396037,68576929,1515760087,240000,Refinance existing loans,REJECTED,7.0,"(58437811,)"
6701,69349681,2960072,1515466154,40000,Buying a pet,REJECTED,8.7,"(10362390,)"
6720,41465550,65771917,1517338261,150000,buying a pet,ACCEPTED,8.7,
6793,12257664,61433361,1515964413,170000,Refinance existing loans,REJECTED,8.7,
6795,32421632,98175640,1515648699,190000,Buying a pet,REJECTED,7.0,
6839,2701636,61053856,1514964938,220000,Home purchase,REJECTED,6.7,
6865,34736387,29572605,1515410772,50000,Buying a pet,REJECTED,14.0,"(17631253,)"
6908,35741713,5314083,1516575482,230000,Buying a pet,ACCEPTED,14.0,
6939,44452644,74062777,1516038342,150000,Refinance existing loans,REJECTED,7.0,
6961,37449131,36063759,1515127343,240000,home purchase,REJECTED,14.0,
6980,402608,80095842,1516517673,260000,Buying a pet,ACCEPTED,14.0,
6986,78375571,29879425,1516349060,60000,Refinance existing loans,ACCEPTED,7.0,
7046,60115920,1414594,1515283935,50000,Refinance existing loans,ACCEPTED,7.0,
7062,97524813,67718465,1515384940,80000,Buying a pet,ACCEPTED,6.7,"(60425249,)"
7142,5412522,67079215,1517120394,180000,Refinance existing loans,ACCEPTED,14.0,
7146,89509107,4317401,1516658383,190000,Home purchase,ACCEPTED,6.7,
7178,64602461,78037080,1517331003,210000,Buying a pet,REJECTED,8.7,
7238,2458013,52318409,1517047457,20000,Buying a pet,ACCEPTED,6.7,
7253,8191839,11072634,1515707501,280000,Refinance existing loans,REJECTED,6.7,"(91603774,)"
7270,50779953,55444580,1515338962,150000,Buying a pet,ACCEPTED,6.7,
7280,84009244,69565124,1515284491,120000,Buying a pet,REJECTED,8.7,
7319,29688430,50932226,1515429266,80000,Buying a pet,ACCEPTED,6.7,
7342,38479638,38428418,1517185133,170000,Home purchase,REJECTED,8.7,"(93621234,)"
7344,1637982,5938589,1515132608,90000,home purchase,ACCEPTED,8.7,
7382,66765951,13325090,1516956396,150000,buying a pet,ACCEPTED,7.0,
7386,65648627,93679838,1516732893,180000,Buying a pet,REJECTED,8.7,
7406,15605134,78030881,1515241767,200000,Buying a pet,REJECTED,7.0,
7413,21388974,73546643,1516482715,300000,Refinance existing loans,ACCEPTED,8.7,"(44656181,)"
7476,86860421,51586924,1516530126,260000,buying a pet,ACCEPTED,6.7,"(70114920,)"
7488,49510331,97061391,1515384745,150000,Home purchase,ACCEPTED,7.0,
7509,46196744,68455010,1516031000,200000,Home purchase,REJECTED,6.7,"(44242398,)"
7533,57992966,47535406,1516214778,280000,Refinance existing loans,REJECTED,14.0,"(35703658,)"
7546,90797742,95347438,1516355489,240000,Home purchase,REJECTED,8.7,
7553,94542848,98470103,1515821020,90000,buying a pet,ACCEPTED,8.7,
7575,83608553,98940177,1514914025,30000,Home purchase,ACCEPTED,7.0,
7586,63503311,9890635,1516758506,270000,Refinance existing loans,ACCEPTED,14.0,
7651,21117589,40928272,1515640428,200000,Buying a pet,REJECTED,14.0,"(37961231,)"
7653,12988234,11039602,1516049123,180000,home purchase,ACCEPTED,8.7,
7692,80696169,49753916,1515719429,190000,Home purchase,ACCEPTED,8.7,
7709,7804869,18007569,1517336301,120000,Home purchase,ACCEPTED,8.7,
7722,88387976,15417997,1516644481,280000,Refinance existing loans,REJECTED,7.0,
7740,87535407,50068040,1515761608,300000,buying a pet,REJECTED,6.7,
7743,66294051,27316703,1516716057,270000,Refinance existing loans,ACCEPTED,7.0,
7749,16842158,19217721,1516969795,70000,Home purchase,ACCEPTED,8.7,
7755,63926484,82765358,1515131990,50000,Home purchase,ACCEPTED,8.7,
7774,80089667,73890195,1514905609,210000,Refinance existing loans,REJECTED,7.0,"(82169534,)"
7787,11104959,97560186,1516053145,250000,Buying a pet,REJECTED,8.7,
7789,9774412,85375289,1515631524,260000,Buying a pet,ACCEPTED,14.0,"(75380312,)"
7798,32175083,95720432,1517269686,200000,Buying a pet,ACCEPTED,14.0,
7806,13941835,75815422,1515699026,30000,Buying a pet,REJECTED,14.0,
7811,3988535,22161392,1515142517,240000,Refinance existing loans,ACCEPTED,8.7,
7858,43579122,97031415,1516586378,230000,Home purchase,ACCEPTED,8.7,
7863,67842972,88624712,1515263843,200000,Home purchase,REJECTED,7.0,
7897,39205153,62578642,1516079720,170000,buying a pet,REJECTED,8.7,
7934,61149003,50605832,1515846643,190000,Buying a pet,ACCEPTED,6.7,"(73787242,)"
7948,65107855,38458778,1516062502,90000,Buying a pet,REJECTED,14.0,
7972,7970216,38721833,1517269131,180000,Home purchase,ACCEPTED,8.7,
8062,11079953,80358175,1516568225,280000,Refinance existing loans,ACCEPTED,6.7,
8080,64615015,32871880,1516652090,240000,Buying a pet,ACCEPTED,6.7,
8097,24134252,95915969,1516269340,30000,Refinance existing loans,REJECTED,14.0,"(3678111,)"
8110,33491248,72792227,1515796875,190000,Refinance existing loans,REJECTED,6.7,
8112,72953027,85157955,1515941984,270000,Refinance existing loans,REJECTED,14.0,
8117,6756561,59528466,1515016484,120000,buying a pet,ACCEPTED,7.0,
8140,73417198,72220308,1514856654,40000,Buying a pet,REJECTED,14.0,
8154,24900236,57320712,1515235741,280000,Buying a pet,REJECTED,14.0,
8158,10663357,23089750,1515461407,190000,Refinance existing loans,REJECTED,8.7,"(66559727,)"
8163,75271642,93184099,1515928742,50000,Buying a pet,REJECTED,14.0,
8183,97279672,31805694,1515284970,50000,Home purchase,REJECTED,14.0,
8189,26870290,73392875,1516258241,260000,Refinance existing loans,REJECTED,6.7,
8216,54945458,59852859,1516312457,40000,Home purchase,REJECTED,14.0,"(966667,)"
