Unnamed: 0,id,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id
2065,35493517,69200111,1507374346,190000,Buying a pet,ACCEPTED,7.0,
2120,26644307,22614312,1507193567,40000,Buying a pet,ACCEPTED,7.0,
2130,29876189,88745843,1508216462,150000,buying a pet,REJECTED,7.0,
2139,41303075,41215957,1507412522,50000,buying a pet,ACCEPTED,6.7,
2174,64760392,51453919,1508559959,280000,Buying a pet,ACCEPTED,6.7,
2190,95726669,47248599,1509372125,280000,Refinance existing loans,ACCEPTED,8.7,
2277,74922937,5863725,1509028308,230000,Refinance existing loans,ACCEPTED,7.0,
2281,95836622,48747986,1509372855,270000,Refinance existing loans,REJECTED,8.7,
2299,52656235,17575341,1507740533,70000,Refinance existing loans,REJECTED,7.0,
2332,99362623,5189086,1509402117,200000,Home purchase,ACCEPTED,8.7,
2350,70927889,40001665,1509192523,210000,Refinance existing loans,REJECTED,7.0,
2409,61662257,84227340,1506882740,250000,Refinance existing loans,ACCEPTED,6.7,
2410,23985513,33548339,1508983599,200000,Refinance existing loans,REJECTED,6.7,
2412,20918161,32916206,1508840854,60000,buying a pet,REJECTED,8.7,"(44793974,)"
2429,14722067,35211297,1509225203,120000,home purchase,REJECTED,8.7,
2466,23689872,71062968,1508859466,190000,Refinance existing loans,ACCEPTED,8.7,"(65983710,)"
2518,22096493,1934735,1508392645,220000,Buying a pet,ACCEPTED,8.7,
2527,43112603,6330676,1506961999,50000,Buying a pet,ACCEPTED,7.0,
2621,60519822,74774847,1508995918,90000,Refinance existing loans,ACCEPTED,8.7,
2646,13271382,49908795,1508946626,250000,Refinance existing loans,REJECTED,7.0,
2651,76543776,51712126,1508290107,300000,home purchase,REJECTED,6.7,
2699,84427732,71265861,1507421424,210000,Buying a pet,REJECTED,8.7,
2712,82475790,96156919,1508452349,150000,Refinance existing loans,ACCEPTED,6.7,"(20094606,)"
2717,49835041,50792318,1507778188,50000,Refinance existing loans,ACCEPTED,14.0,
2791,16570231,65409249,1508425650,250000,Refinance existing loans,REJECTED,7.0,"(12614998,)"
2815,75749583,40530206,1509187417,90000,Buying a pet,REJECTED,14.0,
2850,82816143,73791506,1508547212,90000,home purchase,ACCEPTED,6.7,
2940,73003233,60207856,1507299949,30000,Home purchase,REJECTED,8.7,"(34494296,)"
2942,50234120,83669149,1507728844,200000,Refinance existing loans,ACCEPTED,6.7,
2954,96485888,52706124,1509352527,290000,buying a pet,REJECTED,8.7,"(38153546,)"
2993,62907880,63586460,1507351192,120000,Buying a pet,REJECTED,8.7,
3031,71840708,31953873,1506999346,210000,Refinance existing loans,REJECTED,7.0,
3033,21055103,80903083,1508260530,210000,Refinance existing loans,REJECTED,8.7,
3064,10439706,14117096,1508322781,100000,Refinance existing loans,ACCEPTED,6.7,
3169,94926016,63357978,1509287781,50000,Buying a pet,ACCEPTED,6.7,
3188,15789249,75698405,1508940942,20000,Refinance existing loans,REJECTED,8.7,"(63313931,)"
3204,32090561,51245633,1507669179,280000,Refinance existing loans,ACCEPTED,8.7,"(85387475,)"
3215,28084339,63895435,1508702384,20000,buying a pet,ACCEPTED,14.0,
3232,78029094,24738489,1509212741,80000,Buying a pet,ACCEPTED,14.0,
3258,92201521,28469419,1509163073,270000,Refinance existing loans,REJECTED,6.7,
3264,64910096,17930003,1506950456,180000,Buying a pet,ACCEPTED,7.0,"(27714854,)"
3307,79886069,54283487,1508059390,20000,Buying a pet,REJECTED,8.7,"(70424406,)"
3308,99598770,6623864,1507203541,290000,Home purchase,ACCEPTED,8.7,"(77709985,)"
3318,20521224,80075816,1507987196,60000,Refinance existing loans,ACCEPTED,14.0,
3370,62138760,31487512,1507831668,30000,Refinance existing loans,REJECTED,8.7,
3402,45757281,82815094,1507112760,280000,Buying a pet,REJECTED,8.7,
3434,13473800,82826946,1508491984,150000,home purchase,ACCEPTED,14.0,
3437,24620498,64873236,1507724986,50000,Refinance existing loans,ACCEPTED,8.7,
3447,15783799,51429873,1507557921,40000,Refinance existing loans,REJECTED,8.7,
3531,65771200,2706877,1508523788,300000,Home purchase,REJECTED,7.0,
3535,63926313,39839982,1508470362,220000,Buying a pet,REJECTED,14.0,
3563,61160889,73897556,1507918228,200000,Refinance existing loans,ACCEPTED,8.7,"(3648752,)"
3569,19694120,85300985,1508827055,170000,home purchase,ACCEPTED,7.0,
3578,48661865,21627387,1507719664,260000,Refinance existing loans,ACCEPTED,6.7,"(53577213,)"
3579,67109589,79527279,1509196763,170000,Refinance existing loans,ACCEPTED,14.0,"(2970548,)"
3598,96269942,96948305,1508847942,20000,Refinance existing loans,REJECTED,8.7,
3606,56787235,76998292,1509075732,270000,Buying a pet,REJECTED,14.0,
3637,73314958,39604863,1509249031,30000,Home purchase,REJECTED,8.7,
3649,78064671,92710622,1506927421,190000,Buying a pet,ACCEPTED,6.7,"(52777823,)"
3684,5006788,85473875,1508253160,170000,Refinance existing loans,REJECTED,14.0,
3726,76705831,10746787,1508455463,50000,buying a pet,ACCEPTED,14.0,
3776,19856532,76270566,1508190166,120000,buying a pet,REJECTED,6.7,
3837,35169532,25579595,1509191277,20000,Buying a pet,ACCEPTED,8.7,
3871,11209428,71334499,1506944752,200000,Refinance existing loans,ACCEPTED,6.7,"(30618519,)"
3887,24491151,61639536,1507219242,190000,Refinance existing loans,REJECTED,8.7,
3932,63643513,64354347,1508404939,170000,Refinance existing loans,ACCEPTED,7.0,
3939,9093986,12385364,1507641909,200000,Home purchase,REJECTED,6.7,
3954,83241693,92342687,1507139752,290000,Buying a pet,REJECTED,6.7,
3980,67187246,5410837,1507386052,60000,home purchase,REJECTED,14.0,
3986,46433571,49521170,1508402679,20000,Refinance existing loans,ACCEPTED,7.0,"(38017667,)"
3987,40047044,90695425,1507756825,280000,Refinance existing loans,REJECTED,6.7,
4006,41404592,48511186,1507659075,20000,Refinance existing loans,ACCEPTED,8.7,"(64950959,)"
4013,61235500,89035323,1507106207,20000,Buying a pet,REJECTED,8.7,"(80415779,)"
4016,57155559,11980068,1507332336,20000,Refinance existing loans,REJECTED,6.7,"(10959272,)"
4024,66553467,10393745,1508038937,80000,Refinance existing loans,ACCEPTED,6.7,
4042,72373981,92770981,1508153349,90000,Buying a pet,REJECTED,8.7,
4045,36965966,9168096,1507922122,180000,Buying a pet,REJECTED,6.7,"(59554473,)"
4052,60349638,87847944,1508452838,280000,Buying a pet,ACCEPTED,6.7,
4107,37655360,45096457,1508065021,240000,Home purchase,REJECTED,6.7,
4174,35222365,92156452,1507406146,210000,Refinance existing loans,ACCEPTED,14.0,"(65766927,)"
4203,22024687,9082214,1508191773,80000,Refinance existing loans,REJECTED,14.0,"(86874109,)"
4258,30061730,79294531,1508629300,100000,Home purchase,REJECTED,14.0,
4273,87204981,39800786,1508227190,180000,Refinance existing loans,ACCEPTED,8.7,
4295,35521417,85726738,1507941610,220000,Refinance existing loans,REJECTED,6.7,"(6152719,)"
4296,59890621,85726738,1506875303,220000,Refinance existing loans,ACCEPTED,6.7,
4328,19677160,26707477,1508126948,200000,Buying a pet,ACCEPTED,7.0,"(62862970,)"
4334,68023607,52141868,1508980187,250000,Refinance existing loans,REJECTED,7.0,
4414,73689873,92522410,1507891643,150000,Refinance existing loans,REJECTED,7.0,
4420,72150622,23067767,1507666332,70000,Refinance existing loans,ACCEPTED,6.7,
4439,88069805,70960703,1507763590,210000,Home purchase,REJECTED,6.7,
4444,57693754,77302046,1508190382,90000,buying a pet,ACCEPTED,6.7,
4453,68496333,5565021,1507084834,210000,home purchase,REJECTED,6.7,
4572,47664381,81085264,1509293119,120000,Refinance existing loans,REJECTED,6.7,
4575,48864308,54212903,1508155980,100000,Home purchase,ACCEPTED,6.7,
4577,12532867,87636642,1508376128,170000,Buying a pet,ACCEPTED,7.0,
4591,25561520,55406809,1509307256,220000,Buying a pet,REJECTED,14.0,
4605,59263896,20339117,1508821310,20000,Home purchase,ACCEPTED,8.7,
4611,38303047,74589710,1507724899,90000,buying a pet,ACCEPTED,6.7,"(78697538,)"
4626,81407983,87262642,1508578990,220000,Buying a pet,ACCEPTED,14.0,
4682,9509476,67975893,1507300343,210000,Buying a pet,REJECTED,14.0,"(91086442,)"
4690,70055965,38733822,1508086407,90000,Buying a pet,ACCEPTED,14.0,"(74903554,)"
4748,93254606,6329429,1507543373,80000,Buying a pet,ACCEPTED,6.7,"(13385500,)"
4771,19765309,35386079,1508304735,220000,Refinance existing loans,REJECTED,6.7,
4775,2758806,73276436,1508550523,30000,Refinance existing loans,REJECTED,6.7,"(81694097,)"
4799,81777310,53229560,1508238951,240000,Home purchase,REJECTED,14.0,
4841,81945433,27068996,1507682400,270000,Refinance existing loans,REJECTED,14.0,
4855,62108550,90468850,1508286412,250000,Buying a pet,REJECTED,6.7,
4885,86875603,37171453,1507263086,290000,Refinance existing loans,REJECTED,8.7,
4917,59372406,29990483,1507459659,70000,Home purchase,REJECTED,14.0,
4920,13158694,29735855,1509079192,300000,Home purchase,ACCEPTED,8.7,
4926,31432559,65228475,1507066682,270000,Buying a pet,REJECTED,8.7,"(26882570,)"
4927,13593838,42252909,1508005322,80000,home purchase,ACCEPTED,7.0,"(48186089,)"
4937,13587381,57464366,1509259460,210000,buying a pet,REJECTED,14.0,
4976,17907750,49959182,1507813746,290000,Refinance existing loans,REJECTED,6.7,
4980,57044357,92844857,1507470854,230000,Buying a pet,REJECTED,6.7,"(31922640,)"
4998,31005016,48973483,1508791331,200000,Home purchase,REJECTED,6.7,"(71231623,)"
5048,27848338,26887123,1508369916,290000,Refinance existing loans,ACCEPTED,14.0,"(20525744,)"
5065,11036874,56525702,1508913288,80000,Refinance existing loans,REJECTED,14.0,
5074,26590566,94057342,1508727729,260000,Home purchase,REJECTED,14.0,
5108,60498322,21409367,1508879095,250000,Home purchase,REJECTED,7.0,
5126,78119986,39718245,1509384886,20000,Refinance existing loans,ACCEPTED,14.0,"(22808048,)"
5171,42760680,71329733,1508778997,170000,Refinance existing loans,REJECTED,14.0,"(12160846,)"
5187,89023606,32601807,1506967421,20000,Buying a pet,ACCEPTED,8.7,"(58805743,)"
5211,17951567,68682225,1509392451,40000,Buying a pet,ACCEPTED,6.7,
5221,198819,27667118,1509399696,150000,home purchase,ACCEPTED,6.7,
5230,54357825,82834219,1507834249,180000,Refinance existing loans,REJECTED,14.0,
5232,70894728,76389141,1507532523,290000,Refinance existing loans,ACCEPTED,14.0,
5292,50893723,26486112,1508055602,240000,Home purchase,REJECTED,8.7,
5299,68442103,11440419,1508072568,190000,Buying a pet,ACCEPTED,6.7,
5302,18247955,13075388,1508388305,270000,Buying a pet,ACCEPTED,7.0,
5323,65585032,89432437,1508980298,80000,Buying a pet,ACCEPTED,8.7,
5358,42714099,73721972,1508837830,300000,buying a pet,REJECTED,7.0,
5360,49235289,54219629,1509180940,150000,buying a pet,REJECTED,8.7,
5420,62461162,10752294,1508232759,220000,Refinance existing loans,REJECTED,8.7,
5467,37955152,37381617,1509209444,150000,home purchase,ACCEPTED,8.7,
5473,2424430,13068042,1508582296,220000,buying a pet,ACCEPTED,7.0,"(88880337,)"
5511,30301175,39874793,1507580028,90000,home purchase,ACCEPTED,14.0,
5517,65364474,41868338,1507184811,290000,Refinance existing loans,ACCEPTED,14.0,
5529,10850977,47185665,1507582222,60000,Refinance existing loans,ACCEPTED,7.0,"(88482131,)"
5551,63068917,77407715,1507599181,80000,home purchase,ACCEPTED,7.0,
5586,65854008,68760505,1507885144,210000,Refinance existing loans,REJECTED,6.7,"(24649952,)"
5600,24395457,78672854,1507496290,300000,Refinance existing loans,ACCEPTED,8.7,
5634,59234133,85303747,1508886078,230000,Home purchase,REJECTED,8.7,
5672,83238978,16212137,1508785124,60000,Buying a pet,ACCEPTED,8.7,
5689,46659841,42033130,1509220181,260000,Refinance existing loans,ACCEPTED,7.0,"(58030575,)"
5694,28142046,47182097,1508694215,100000,Buying a pet,REJECTED,14.0,
5733,10529363,87409553,1508370163,300000,Home purchase,ACCEPTED,6.7,"(68151273,)"
5744,58591002,96676235,1509010970,210000,home purchase,ACCEPTED,8.7,"(64249825,)"
5749,99018027,24719625,1507360300,180000,Refinance existing loans,REJECTED,14.0,
5787,83798383,44119908,1506956324,190000,Refinance existing loans,ACCEPTED,14.0,"(32249265,)"
5790,35089336,28542347,1508744057,290000,Refinance existing loans,REJECTED,6.7,
5831,12238408,46665140,1507139102,100000,Buying a pet,REJECTED,6.7,"(22635104,)"
5873,78744218,13395856,1507441352,30000,Refinance existing loans,REJECTED,6.7,
5985,54115223,85252626,1507065473,60000,Refinance existing loans,REJECTED,6.7,
6054,94925924,40862354,1508570390,60000,Refinance existing loans,ACCEPTED,8.7,"(77734732,)"
6087,85862555,72332299,1507847729,280000,home purchase,REJECTED,8.7,
6091,56587423,97548462,1507821330,230000,Refinance existing loans,ACCEPTED,6.7,
6153,22019665,17208819,1507058461,200000,buying a pet,REJECTED,6.7,
6154,56417469,36150392,1509389809,40000,Refinance existing loans,ACCEPTED,7.0,
6159,66567700,68289274,1507165124,230000,Refinance existing loans,ACCEPTED,8.7,
6164,34510529,53821995,1509278384,180000,Home purchase,REJECTED,6.7,
6167,41167988,34458092,1506882213,30000,Buying a pet,ACCEPTED,6.7,
6172,19586296,13103043,1508679836,180000,Home purchase,REJECTED,8.7,"(18634941,)"
6258,64155771,40190316,1508282894,200000,Refinance existing loans,ACCEPTED,6.7,
6262,7565417,76157510,1508988276,200000,buying a pet,ACCEPTED,6.7,"(29104581,)"
6275,48946266,97539577,1507134376,170000,Refinance existing loans,ACCEPTED,6.7,"(24610846,)"
6295,29634960,99577343,1508472139,260000,Buying a pet,ACCEPTED,7.0,"(43533855,)"
6306,92757044,22384477,1507972347,300000,Refinance existing loans,REJECTED,8.7,"(55123097,)"
6372,23496946,73571629,1506983864,260000,Refinance existing loans,ACCEPTED,7.0,
6387,92961855,6028252,1509257802,60000,Buying a pet,ACCEPTED,8.7,"(92457139,)"
6407,78635087,86362973,1508092993,90000,home purchase,REJECTED,14.0,
6421,85737018,352565,1507751494,30000,Home purchase,ACCEPTED,6.7,"(89367508,)"
6438,27545228,60705782,1507138171,20000,buying a pet,ACCEPTED,14.0,"(23412632,)"
6465,19925378,29805558,1506982298,190000,Refinance existing loans,REJECTED,7.0,"(68737710,)"
6481,94414923,79647294,1508138118,180000,Refinance existing loans,ACCEPTED,7.0,"(63160038,)"
6510,39508386,64497865,1508221780,190000,Buying a pet,ACCEPTED,8.7,
6526,19722592,24495460,1508706349,210000,Buying a pet,ACCEPTED,8.7,
6539,9344956,38223493,1508515758,280000,Buying a pet,REJECTED,6.7,
6547,23004256,58296469,1508914372,250000,Buying a pet,ACCEPTED,7.0,
6565,86894283,57491033,1507676373,180000,home purchase,REJECTED,7.0,
6601,18982106,34799639,1508834210,90000,Home purchase,REJECTED,6.7,
6619,83166481,96343363,1508945284,300000,Buying a pet,REJECTED,6.7,"(42558738,)"
6626,32446803,82124092,1507128307,220000,Buying a pet,REJECTED,7.0,
6699,18741694,22916040,1507314866,20000,Refinance existing loans,ACCEPTED,14.0,
6753,52020288,30520301,1508573972,20000,Refinance existing loans,ACCEPTED,8.7,"(3039500,)"
6767,62369187,68095390,1509138397,70000,Buying a pet,REJECTED,14.0,"(55265437,)"
6783,54698986,55793802,1508702327,240000,Home purchase,REJECTED,7.0,
6816,62158329,84942329,1507676619,190000,home purchase,ACCEPTED,6.7,
6818,78831760,24231283,1508604358,220000,Refinance existing loans,REJECTED,14.0,
6840,17107078,34483576,1507461576,80000,Refinance existing loans,ACCEPTED,14.0,
6843,42014219,43222209,1506862934,60000,Buying a pet,REJECTED,7.0,
6880,40279177,11071192,1507423861,180000,home purchase,REJECTED,7.0,
6884,13335667,99077008,1507795867,230000,home purchase,ACCEPTED,6.7,"(99337816,)"
6943,78329505,84129497,1508340563,150000,home purchase,REJECTED,8.7,"(33306453,)"
7000,26788911,54529995,1508072008,100000,Buying a pet,REJECTED,6.7,
7015,80271214,38758317,1508880774,190000,Buying a pet,ACCEPTED,6.7,
7057,88651890,34903009,1507808462,30000,Home purchase,REJECTED,14.0,
7059,92557834,21500915,1506924150,210000,Refinance existing loans,REJECTED,8.7,"(67290914,)"
7102,5605936,28547963,1508963072,40000,Refinance existing loans,ACCEPTED,8.7,
7114,50136710,77878657,1507259796,270000,Refinance existing loans,ACCEPTED,8.7,
7119,79854568,98693045,1506860643,240000,Buying a pet,ACCEPTED,14.0,
7128,28111073,58208231,1506849736,200000,Refinance existing loans,REJECTED,14.0,"(11493715,)"
7144,29439491,91138009,1508385021,290000,Refinance existing loans,ACCEPTED,7.0,
7173,11430500,72147804,1507466641,60000,buying a pet,ACCEPTED,6.7,"(7064747,)"
7180,19823482,22630464,1508766093,120000,Refinance existing loans,REJECTED,6.7,"(16755704,)"
7242,93004850,73251849,1507519956,240000,home purchase,REJECTED,8.7,
7254,94554537,22198336,1508329290,200000,Refinance existing loans,REJECTED,6.7,
7256,41610325,94303231,1507631711,50000,Buying a pet,ACCEPTED,7.0,
7259,48967713,10148150,1509378026,190000,Buying a pet,ACCEPTED,14.0,
7291,15435599,89696950,1508575917,90000,Home purchase,ACCEPTED,14.0,"(51980525,)"
7307,72989167,17087441,1508139767,200000,Refinance existing loans,REJECTED,6.7,"(56599014,)"
7314,52117462,98558317,1508126608,240000,Buying a pet,ACCEPTED,14.0,
7317,17349637,59490269,1507386505,100000,Refinance existing loans,REJECTED,14.0,"(62811655,)"
7338,48404760,80575994,1507778435,200000,Refinance existing loans,REJECTED,6.7,
7400,77515570,69612658,1509315601,220000,Refinance existing loans,ACCEPTED,6.7,"(57537567,)"
7407,98051797,8238052,1507643914,40000,Refinance existing loans,REJECTED,6.7,
7499,28717207,64781809,1506941110,180000,Home purchase,ACCEPTED,7.0,"(12674682,)"
7555,61071395,44439636,1507263447,40000,Buying a pet,ACCEPTED,8.7,"(28572966,)"
7573,97483424,49422595,1507888869,270000,Home purchase,ACCEPTED,7.0,"(58766303,)"
7579,68789785,68935183,1508652504,280000,buying a pet,REJECTED,8.7,"(5014923,)"
7672,52382180,9342437,1506902898,260000,Home purchase,ACCEPTED,7.0,
7706,3890141,15058021,1508470282,80000,Refinance existing loans,ACCEPTED,6.7,
7710,25181941,23654628,1506887871,150000,Home purchase,REJECTED,8.7,"(60850011,)"
7711,72650651,98850959,1508754671,250000,Refinance existing loans,ACCEPTED,14.0,
7713,69888634,18276261,1509007768,60000,Home purchase,REJECTED,6.7,
7723,44556657,15417997,1507226241,260000,Buying a pet,ACCEPTED,14.0,
7724,90450849,53796478,1507138499,100000,Buying a pet,ACCEPTED,7.0,
7759,64004073,29800227,1509332925,180000,Home purchase,REJECTED,7.0,"(84911144,)"
7830,69290021,34827961,1508981522,170000,Buying a pet,REJECTED,8.7,"(873685,)"
7861,19580725,55302141,1507395590,90000,home purchase,ACCEPTED,14.0,"(3709274,)"
7882,91319994,29580809,1507411350,150000,Buying a pet,REJECTED,8.7,
7924,7543253,98802203,1507224082,30000,Refinance existing loans,ACCEPTED,6.7,
7933,44045117,50605832,1508726705,210000,Home purchase,ACCEPTED,8.7,
7988,57751732,16433382,1507117749,60000,Buying a pet,ACCEPTED,8.7,"(96837271,)"
8023,96314087,97086936,1507709727,180000,Refinance existing loans,ACCEPTED,14.0,
8035,64886174,39014631,1507932005,60000,Home purchase,REJECTED,8.7,"(42604891,)"
8079,47551674,63477332,1508950889,100000,Buying a pet,ACCEPTED,8.7,
8102,62199823,47766612,1507534329,280000,Refinance existing loans,REJECTED,8.7,
8135,80885574,88266681,1508980751,270000,Home purchase,ACCEPTED,8.7,"(80157388,)"
8198,45173641,51915304,1509092616,60000,Buying a pet,REJECTED,6.7,
8245,60040528,59539539,1507675679,190000,buying a pet,ACCEPTED,6.7,
8246,66320549,3398762,1507655720,250000,Refinance existing loans,REJECTED,8.7,"(40597895,)"
8268,10266444,81915316,1507988015,20000,Refinance existing loans,ACCEPTED,7.0,"(56159495,)"
8297,74941699,57353715,1507457187,30000,home purchase,ACCEPTED,6.7,
8319,41506801,75415350,1507012861,20000,Home purchase,REJECTED,7.0,
8325,30667668,47857612,1509028350,290000,home purchase,ACCEPTED,7.0,"(32958350,)"
8351,26176188,6190671,1507396851,200000,Home purchase,ACCEPTED,6.7,"(33250923,)"
8382,77239129,69076926,1509372926,60000,Buying a pet,ACCEPTED,8.7,
